"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0159200001507998","0.0184199996292591","0.0370099991559982","","","","","","","","","","","","","","0.277630001306534","","","",
"Bhutan","BTN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.532859981060028","","","","","","","0.258799999952316","0.537280023097992","","","","","","","","",
"Central African Republic","CAF","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61208999156952","1.61386001110077","1.71051001548767","1.74985003471375","1.85847997665405","2.02116990089417","1.97170996665955","1.96781003475189","1.99733996391296","1.97126996517181","1.94304001331329","1.90357995033264","1.85578000545502","1.9174200296402","1.82527995109558","1.78714001178741","1.77232003211975","1.70539999008179","1.71416997909546","1.69324004650116","1.72872996330261","1.68579995632172","1.67917001247406","1.59162998199463","1.69781005382538","",
"Central Europe and the Baltics","CEB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.723923857065845","0.749715682219663","0.73231445126381","0.736682063374927","0.745091276102745","0.749756464744946","0.738820889595267","0.730672041440693","0.734149646652039","0.735257091594037","0.751639678800967","0.755708551933109","0.781456286083501","0.825367517260968","0.871181703112068","0.954758136412658","1.05350774226496","1.06226242425255","1.08887097821317","1.14076452052674","1.0230617999841","1.08335541326381","1.19335161901015","1.2457399026744","1.31279848439532","",
"Switzerland","CHE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37391996383667","","","","2.25880002975464","","","","2.59776997566223","","","","2.63883996009827","","","","2.85093998908997","","","3.04310989379883","","3.03413009643555","","3.14685988426209","","",
"Channel Islands","CHI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.309570014476776","0.374969989061356","0.352019995450974","0.329470008611679","0.351440012454987","0.362199991941452","0.388700008392334","0.375030010938644","0.380730003118515","0.369340002536774","0.355930000543594","0.366470009088516","0.340950012207031","","",
"China","CHN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.563239991664886","0.638729989528656","0.646889984607697","0.749629974365234","0.893159985542297","0.940330028533936","1.05786001682281","1.12037003040314","1.21498000621796","1.30791997909546","1.36854004859924","1.37369000911713","1.44591999053955","1.66480004787445","1.7137199640274","1.78033995628357","1.91214001178741","1.99785995483398","2.02242994308472","2.05700993537903","2.10033011436462","2.11602997779846","2.14057993888855","2.2446300983429","2.40092992782593","",
"Cote d'Ivoire","CIV","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0703999996185303","","","","","",
"Cameroon","CMR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.267769992351532","0.0579899996519089","0.0604400001466274","0.136089995503426","0.0825299993157387","0.0782200023531914","","","","","","0.406379997730255","","","","","","",
"Congo, Rep.","COG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.299230009317398","0.273660004138947","","","0.131060004234314","0.13289999961853","0.155589997768402","0.173979997634888","0.169640004634857","0.165570005774498","0.164269998669624","0.183070003986359","0.195409998297691","0.193509995937347","0.193580001592636","0.198420003056526","0.221159994602203","0.257609993219376","0.303169995546341","0.365420013666153","0.270509988069534","0.261090010404587","0.312330007553101","0.321689993143082","0.288120001554489","",
"Comoros","COM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0726400017738342","","","","","","","","","","",
"Costa Rica","CRI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.302210003137589","0.29569000005722","0.265260010957718","0.367590010166168","0.411350011825562","","","0.361900001764297","0.372880011796951","","0.426930010318756","0.356550008058548","0.385930001735687","0.517180025577545","0.479900002479553","0.462350010871887","0.547129988670349","0.542530000209808","0.556270003318787","0.436650007963181","0.443349987268448","0.425870001316071","0.3714399933815","","","",
"Caribbean small states","CSS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.347359985113144","0.401719987392426","0.501240015029907","0.458319991827011","0.478650003671646","0.565299987792969","0.564450025558472","0.582430005073547","0.602310001850128","0.549199998378754","0.441390007734299","0.436150014400482","0.500609993934631","0.614849984645844","0.6076700091362","0.271919995546341","0.407160013914108","0.474669992923737","0.415960013866425","0.428539991378784","0.34222999215126","0.430660009384155","0.536909997463226","0.553080022335052","0.518379986286163","",
"Curacao","CUW","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.203309997916222","0.218060001730919","0.226899996399879","0.236939996480942","0.279670000076294","0.318340003490448","0.335640013217926","0.367269992828369","0.383459985256195","0.400070011615753","0.385939985513687","0.444370001554489","0.444090008735657","0.45388999581337","0.438879996538162","0.4860700070858","0.513599991798401","0.476889997720718","0.522019982337952","0.544390022754669","0.61583000421524","0.714630007743835","0.82234001159668","",
"Czechia","CZE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.889119982719421","0.988189995288849","1.06022000312805","1.04956996440887","1.10996997356415","1.09870994091034","1.09818994998932","1.14209997653961","1.13935005664825","1.16100001335144","1.22541999816895","1.29571998119354","1.23357999324799","1.28656005859375","1.32669997215271","1.54477000236511","1.76967000961304","1.87924003601074","1.95833003520966","1.91689002513885","1.67002999782562","1.76855003833771","1.89944994449615","1.92772996425629","1.99103999137878","",
"Germany","DEU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1446099281311","2.18831992149353","2.21613001823425","2.34779000282288","2.40982007980347","2.40437006950378","2.4362199306488","2.47461009025574","2.43518996238709","2.44193005561829","2.47232007980347","2.4604799747467","2.61512994766235","2.74266004562378","2.73024010658264","2.80555009841919","2.88165998458862","2.8359899520874","2.87784004211426","2.9337899684906","2.94039011001587","3.04710006713867","3.10788011550903","3.16770005226135","3.14425992965698","",
"Djibouti","DJI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
